,2
677,HERC6
678,TARS1
679,VCL
680,ENSG00000285156
681,ELOVL4
682,PSME1
683,PSME1-1
684,UGCG
685,LEO1
686,EZR
687,CD4
688,QSOX1
689,YWHAH
690,PPARD
691,SERPINB13
692,FH
693,AHSA1
694,PPT1
695,UBE2L3
696,TPX2
697,TTC39A
698,SNRPF
699,ARPC5L
700,LIMA1
701,HIGD1A
702,ERAP2
703,FSCN1
704,CEBPA
705,PSMA1
706,CHCHD2
707,MDH2
708,IARS1
709,HLA-DRB5
710,PPP1R15A
711,CXCL16
712,SIRPA
713,CYBB
714,TWF1
715,FGD2
716,TAP2-7
717,DDX39B-5
718,HCLS1
719,ANKRD22
720,BTG2
721,SPTLC2
722,EIF3J
723,CACYBP
724,HMOX1
725,PLP2
726,EMP3
727,TMEM165
728,KLK11
729,MX2
730,ARPC5
731,PRSS3
732,RPL30
733,NDUFA4
734,SSU72
735,INPP1
736,RARS1
737,PLBD1
738,EVL
739,NSF-2
740,TYROBP
741,ALOX15
742,CD1A
743,ATP5MF
744,RASSF2
745,ETF1
746,VSIG10L
747,HINT1
748,DUSP14
749,ARPC1B
750,ARRB2
751,FXYD3
752,IFI44
753,RAB38
754,SUCLG1
755,PSMA7
756,CD55
757,GNA15
758,NPIPA5
759,SEM1
760,PTGES3
761,AMD1
762,RPN1
763,DDX58
764,HNRNPH3
765,RPS19
766,PDIA4
767,HMGCR
768,PTTG1
769,PDZK1IP1
770,CLEC10A
771,LGALS9
772,NLRX1
773,DENND2D
774,PSMB6
775,SMAP2
776,FAM83H
777,DBNL
778,NSA2
779,TNFRSF1B
780,UNC93A
781,PSMC2
782,CTSK
783,GBP4
784,LASP1
785,ACP7
786,CHTF8
787,HSPA1A
788,CD83
789,PRC1
790,RDH12
791,CYCS
792,SNRPG
793,TNXB-5
794,GNAI3
795,DPP4
796,MRPL3
797,TJP2
798,MPHOSPH6
799,NT5C3A
800,CSE1L
801,YME1L1
802,NOLC1
803,HTATSF1
804,DAB2
805,TRBC2-1
806,PSMB2
807,PTDSS1
808,SMC1A
809,UCP2
810,RBM8A
811,ARHGAP30
812,DNTTIP2
813,SRSF3
814,ARPC4
815,ENSG00000233461
816,TRAC
817,NOD2
818,SP100
819,EFHD2
820,MARCO
821,COX7B
822,PSMD8
823,EPHA2
824,OLA1
825,LITAF
826,ZC3H12A
827,RASGRP1
828,S100A4
829,VOPP1
830,RSAD2
831,ITGAL
832,CALM3
833,TAF1D
834,STT3A
835,FOXH1
836,ME1
837,UBE2N
838,PDAP1
839,MRPL45
